Date,Close/Last,Volume,Open,High,Low
11/12/2021,$190.08,3121684,$188.91,$191.84,$187.31
11/11/2021,$188.6,2554845,$188.64,$188.82,$187.24
11/10/2021,$187.02,4304584,$189.64,$190.97,$186.48
11/09/2021,$190.79,4314936,$192.63,$193.95,$190.39
11/08/2021,$192.36,5213902,$194.0383,$195.3799,$191.72
11/05/2021,$193.4,4510522,$193.65,$195.43,$191.82
11/04/2021,$191.11,4827970,$189.5,$191.22,$188.42
11/03/2021,$189.19,3666866,$188.68,$190.11,$186.67
11/02/2021,$189.34,4009677,$186.15,$189.37,$186.11
11/01/2021,$187.47,4203904,$186.73,$188.57,$186.075
10/29/2021,$187.48,4552271,$186.39,$188.36,$186.23
10/28/2021,$187.87,5123007,$187.77,$189.6,$186.23
10/27/2021,$187.1,10365480,$185.64,$188.52,$183.55
10/26/2021,$196.98,5837478,$200.08,$200.4,$196.49
10/25/2021,$200.2,4255061,$200,$202.26,$199.06
10/22/2021,$199.07,3649240,$201.55,$202.22,$198.135
10/21/2021,$201.29,3276309,$199.645,$201.58,$199
10/20/2021,$199.38,3043279,$198.1,$200.02,$197.05
10/19/2021,$198.23,2666322,$194.61,$198.54,$193.84
10/18/2021,$194.91,2804669,$193.17,$196.06,$191.62
10/15/2021,$194.45,2649003,$192.86,$194.8,$192.64
10/14/2021,$192.49,3413837,$189.37,$192.58,$188.93
10/13/2021,$187.1,3797435,$189.16,$189.38,$186.52
10/12/2021,$188.48,6225112,$193.92,$194.23,$187.34
10/11/2021,$193.37,2280205,$194.89,$196.23,$193.31
10/08/2021,$195.24,2574223,$196.18,$196.37,$193.985
10/07/2021,$195.31,2873192,$195.81,$197.75,$195.03
10/06/2021,$194.39,3103428,$192.05,$194.66,$191.6
10/05/2021,$193.88,3860158,$192.23,$195.22,$190.68
10/04/2021,$190.4,3934248,$193.04,$194.38,$189.03
10/01/2021,$193.79,2986088,$193.43,$194.33,$190.1801
09/30/2021,$192.21,3272316,$194.48,$194.99,$192.1
09/29/2021,$193.07,3436848,$194.53,$195.8199,$192.105
09/28/2021,$194.89,4274598,$197.49,$199.11,$194.55
09/27/2021,$200.33,3022270,$198.23,$200.45,$197.67
09/24/2021,$200.65,3191769,$197.37,$200.92,$197.12
09/23/2021,$198.67,2757054,$196.3,$199.1,$195.79
09/22/2021,$195.92,3526368,$194.75,$196.7,$193.74
09/21/2021,$192.96,3093468,$193.96,$194.49,$190.835
09/20/2021,$192.59,4614316,$192.88,$193.74,$189.76
09/17/2021,$196.25,5819573,$197.31,$197.31,$194.605
09/16/2021,$196.82,2661473,$196.585,$197.34,$194.85
09/15/2021,$197.5,3995869,$196.13,$197.59,$194.83
09/14/2021,$195.11,3239617,$195,$196.34,$193.8
09/13/2021,$193.98,3687232,$192.96,$194.13,$191.24
09/10/2021,$190.65,3331718,$189.34,$193.445,$189.34
09/09/2021,$188.47,1827894,$189.66,$190.63,$188.26
09/08/2021,$188.8,2021629,$188.5,$189.0442,$187.12
09/07/2021,$189.46,2295952,$189.33,$190.1,$188.48
09/03/2021,$189.88,2103441,$188.67,$190.83,$188.2
09/02/2021,$189.41,2061416,$189.21,$189.42,$188.04
09/01/2021,$188.35,4536639,$191.775,$191.78,$188.17
08/31/2021,$190.91,4227735,$192.1,$192.7,$189.11
08/30/2021,$191.43,2356491,$191.39,$192.29,$190.705
08/27/2021,$190.52,2859989,$188.4,$190.8,$188.06
08/26/2021,$187.97,3643709,$187.66,$188.59,$186.57
08/25/2021,$188.09,3163578,$188.37,$189.12,$187.33
08/24/2021,$187.82,3268153,$187.92,$189.53,$187.53
08/23/2021,$187.85,3529034,$185.8,$188.64,$185.57
08/20/2021,$184.97,3855334,$185.26,$186.16,$183.32
08/19/2021,$185.04,3871756,$182.745,$185.97,$181.955
08/18/2021,$183.8,2862557,$185.71,$186.56,$183.56
08/17/2021,$186.32,3411822,$188.55,$188.74,$185.1
08/16/2021,$189.85,2506170,$188.49,$189.96,$188.1
08/13/2021,$188.7,1923680,$187.54,$188.78,$187
08/12/2021,$187.87,3949601,$188.85,$189.0579,$186.16
08/11/2021,$189.5,2339370,$191.17,$191.17,$188
08/10/2021,$189.65,3497331,$190.54,$190.54,$186.82
08/09/2021,$190.45,2396200,$193.28,$193.53,$190.33
08/06/2021,$192.96,2414308,$192.37,$193.63,$192.19
08/05/2021,$193.16,2769531,$193.8,$193.9,$191.59
08/04/2021,$192.38,3793588,$189.89,$193.365,$189.25
08/03/2021,$189.34,3703460,$190.93,$191.45,$187.44
08/02/2021,$190.72,2922773,$192.4,$193.6,$190.41
07/30/2021,$190.62,2521715,$188.5,$190.95,$188.37
07/29/2021,$189.83,3081776,$187.84,$190.455,$187.46
07/28/2021,$186.85,2956943,$186.32,$187.5,$185.02
07/27/2021,$185.13,4649895,$187.52,$187.835,$182.23
07/26/2021,$188.26,4516737,$185.355,$188.99,$185.31
07/23/2021,$186.85,5982992,$184.19,$186.93,$182.16
07/22/2021,$183.91,12673940,$185.74,$187.66,$183.53
07/21/2021,$194.24,6352791,$188.4539,$194.245,$188.4539
07/20/2021,$187.77,4287544,$187.056,$189.18,$185.76
07/19/2021,$186.24,4181576,$184.275,$186.33,$183.37
07/16/2021,$186.12,4337576,$189.27,$190.24,$185.73
07/15/2021,$188.26,4259863,$190.47,$191.28,$187.4
07/14/2021,$191.28,3590215,$193,$194.09,$190.73
07/13/2021,$191.2,2695080,$191.23,$192.46,$190.715
07/12/2021,$191.92,4069516,$190.55,$192.02,$190.09
07/09/2021,$190.27,3109182,$188.17,$190.865,$187
07/08/2021,$188.24,3147227,$187.555,$189.3,$185.37
07/07/2021,$189.78,2749520,$192.77,$192.99,$188.98
07/06/2021,$191.2,2619753,$192.58,$192.765,$189.545
07/02/2021,$192.21,2390089,$192.632,$192.8,$190.91
07/01/2021,$190.84,3455953,$192.025,$192.48,$190.06
06/30/2021,$192.3,2687656,$192.84,$193,$191.49
06/29/2021,$192.88,2108687,$191.52,$193.01,$190.925
06/28/2021,$191.53,3228688,$188.97,$192.38,$188.97
06/25/2021,$188.17,4639336,$188.05,$190.25,$187.35
06/24/2021,$188.61,2876892,$188.05,$188.7,$187.45
06/23/2021,$186.1,2473274,$186.48,$187.48,$185.99
06/22/2021,$187.04,3299760,$185.49,$187.28,$184.34
06/21/2021,$186.11,3771261,$184.25,$186.64,$183.36
06/18/2021,$183.07,7535331,$186.005,$186.31,$182.5
06/17/2021,$187.65,3222379,$187.24,$189.53,$186.2
06/16/2021,$187.73,3357942,$189.91,$190.49,$186.3
06/15/2021,$188.61,2600234,$190.46,$190.73,$188.1152
06/14/2021,$190.26,3360449,$188.26,$190.35,$187.07
06/11/2021,$188.67,2309380,$188.08,$188.74,$186.94
06/10/2021,$188,3188714,$186.34,$188.9,$185.9
06/09/2021,$186.45,2866943,$188.09,$188.125,$186.17
06/08/2021,$186.93,3063666,$189.97,$189.97,$186.11
06/07/2021,$188.55,2726265,$189.2,$189.8,$187.66
06/04/2021,$190.07,3462960,$187.78,$190.38,$187.48
06/03/2021,$186,4205441,$187.69,$187.86,$184.9
06/02/2021,$190.75,3137967,$189.5,$190.86,$188.34
06/01/2021,$189,4817511,$191.38,$192.03,$188.04
05/28/2021,$189.82,3306624,$190.05,$191.03,$189.27
05/27/2021,$189.13,10107760,$188.74,$190.05,$187.88
05/26/2021,$188.36,4221629,$188.06,$189.775,$186.93
05/25/2021,$188.7,4270225,$189.47,$189.68,$187.88
05/24/2021,$188.69,4165908,$186.4517,$189.35,$186.4517
05/21/2021,$185.01,3682338,$186.69,$186.69,$184.1401
05/20/2021,$185.3,5386990,$182.28,$186.54,$182.2792
05/19/2021,$181.72,4780154,$175.24,$181.93,$175
05/18/2021,$178.87,3454202,$181.11,$181.86,$178.59
05/17/2021,$180.83,4162317,$182.25,$182.38,$178.85
05/14/2021,$183.27,4433534,$180.7,$184.92,$179.5
05/13/2021,$178.99,4361497,$179.99,$180.63,$177.25
05/12/2021,$176.6,5297959,$179.69,$180.1,$176.27
05/11/2021,$183.2,4641488,$178.41,$183.53,$177.41
05/10/2021,$182.05,4580438,$187.29,$187.29,$181.82
05/07/2021,$187.76,4591506,$186.7,$188.1,$185.42
05/06/2021,$184.27,4525823,$181.93,$184.84,$179.95
05/05/2021,$181.65,5257339,$181.01,$183.175,$179.475
05/04/2021,$179.03,5222294,$178.26,$179.25,$175.53
05/03/2021,$178.795,5136070,$181.49,$181.7999,$177.56
04/30/2021,$180.51,6193598,$182.18,$182.8956,$179.13
04/29/2021,$185.82,4547337,$183.63,$186.05,$182.65
04/28/2021,$181.82,9434237,$181.64,$184,$180
04/27/2021,$190.21,3864051,$191.055,$192.51,$189.78
04/26/2021,$191.36,3842256,$188.86,$192.18,$187.885
04/23/2021,$188.82,3512433,$187.02,$190.01,$186.51
04/22/2021,$185.8,3853113,$186.66,$188.79,$184.77
04/21/2021,$188.9,4796529,$187.9,$189.14,$184.96
04/20/2021,$185.27,4258954,$186.98,$186.98,$184.28
