Date,Close/Last,Volume,Open,High,Low
12/07/2021,$324.27,59305350,$309.57,$324.49,$306.51
12/06/2021,$300.37,65893850,$298.8,$302.41,$280.38
12/03/2021,$306.93,54432510,$320,$321.29,$301.3
12/02/2021,$321.26,47289030,$312.14,$324.7799,$310.25
12/01/2021,$314.35,48580200,$332.1947,$332.8934,$313.8
11/30/2021,$326.76,62206650,$331.69,$333.53,$318.6401
11/29/2021,$333.76,45496400,$323.66,$334.12,$320.36
11/26/2021,$315.03,28306890,$326,$327.1,$313.5
11/24/2021,$326.74,43516230,$314.61,$328.55,$309.28
11/23/2021,$317.46,53216270,$315.35,$323.6,$308.8
11/22/2021,$319.56,75433520,$335.17,$346.47,$319
11/19/2021,$329.85,53386670,$322.43,$330.88,$319.05
11/18/2021,$316.75,78171080,$323.67,$327.6,$313.21
11/17/2021,$292.61,42850800,$304.18,$305.09,$288
11/16/2021,$302.03,26448370,$297.59,$303.9,$297.0587
11/15/2021,$300.25,38490900,$305.52,$306.44,$292.47
11/12/2021,$303.9,41305430,$300.1,$306.8,$296.3
11/11/2021,$303.9,33217210,$304.68,$305.9,$297.7701
11/10/2021,$294.59,63620570,$293.56,$308.5,$287.78
11/09/2021,$306.57,64674620,$322.82,$323.1,$299.64
11/08/2021,$308.04,50310090,$301.49,$311,$299.07
11/05/2021,$297.52,85126020,$301.87,$314,$294.1
11/04/2021,$298.01,115363100,$272.29,$313.65,$271.18
11/03/2021,$265.98,23991030,$266.7,$267.84,$262.35
11/02/2021,$264.01,29411240,$258.22,$266.78,$258
11/01/2021,$258.27,26573980,$256.49,$258.94,$252.27
10/29/2021,$255.67,29250280,$250.005,$257.09,$250
10/28/2021,$249.41,23420430,$248.78,$249.5,$245.23
10/27/2021,$244.51,24598990,$244.74,$250.9,$242.8201
10/26/2021,$247.17,48589830,$239.89,$252.59,$239.24
10/25/2021,$231.66,23023480,$229.73,$233.5499,$227.7
10/22/2021,$227.26,24938380,$228.23,$231.3,$225.61
10/21/2021,$226.92,18759030,$220.97,$227.11,$220.83
10/20/2021,$221.03,14627590,$223.045,$224.33,$219.82
10/19/2021,$222.9,16147330,$222.76,$223.79,$220.37
10/18/2021,$222.22,18949360,$217.49,$222.91,$216.44
10/15/2021,$218.62,22699400,$218.1,$219.31,$216.62
10/14/2021,$217.46,24358880,$212.88,$217.55,$211.2201
10/13/2021,$209.39,18065190,$209.18,$209.9,$207.13
10/12/2021,$206.71,16213350,$208.275,$210.57,$205.28
10/11/2021,$206.95,16338750,$205.75,$210.63,$205.11
10/08/2021,$208.31,15125790,$211.01,$212.06,$207.75
10/07/2021,$210.75,25691890,$210.92,$213.22,$209.72
10/06/2021,$207,29720180,$201.2,$207.2,$200.8
10/05/2021,$204.51,27928170,$199.5,$206.48,$198.54
10/04/2021,$197.32,34563500,$205.04,$205.4179,$195.55
