Date,Close/Last,Volume,Open,High,Low
11/16/2021,$100.6,N/A,$100.6,$100.6,$100.6
11/15/2021,$100.6,30328,$100.6,$100.6,$100.6
11/12/2021,$102.33,N/A,$102.33,$102.33,$102.33
11/11/2021,$102.33,210,$102.33,$102.33,$102.33
11/10/2021,$102.25,727,$102.26,$102.26,$102.25
11/09/2021,$102.8125,N/A,$102.8125,$102.8125,$102.8125
11/08/2021,$102.8125,386,$102.8125,$102.8125,$102.8125
11/05/2021,$102.65,342,$102.65,$102.65,$102.65
11/04/2021,$102.65,N/A,$102.65,$102.65,$102.65
11/03/2021,$102.65,400959,$103.75,$103.75,$102.65
11/02/2021,$101.45,N/A,$101.45,$101.45,$101.45
11/01/2021,$101.45,232,$101.45,$101.45,$101.45
10/29/2021,$97.814,401,$98.405,$98.405,$97.814
10/28/2021,$100,N/A,$100,$100,$100
10/27/2021,$100,N/A,$100,$100,$100
10/26/2021,$100,317,$100,$100,$100
10/25/2021,$98.5,2349,$98.5,$98.5,$98.5
10/22/2021,$97.51,6873,$97.91,$97.91,$97.51
10/21/2021,$99,351,$99,$99,$99
10/20/2021,$98.75,N/A,$98.75,$98.75,$98.75
10/19/2021,$98.75,N/A,$98.75,$98.75,$98.75
10/18/2021,$98.75,N/A,$98.75,$98.75,$98.75
10/15/2021,$98.75,397,$98.75,$98.75,$98.75
10/14/2021,$100.5,N/A,$100.5,$100.5,$100.5
10/13/2021,$100.5,N/A,$100.5,$100.5,$100.5
10/12/2021,$100.5,N/A,$100.5,$100.5,$100.5
10/11/2021,$100.5,N/A,$100.5,$100.5,$100.5
10/08/2021,$100.5,N/A,$100.5,$100.5,$100.5
10/07/2021,$100.5,502,$95,$100.5,$95
10/06/2021,$99.1,1933,$95.6369,$99.1,$95.6369
10/05/2021,$92.48,N/A,$92.48,$92.48,$92.48
10/04/2021,$92.48,N/A,$92.48,$92.48,$92.48
10/01/2021,$92.48,N/A,$92.48,$92.48,$92.48
09/30/2021,$92.48,N/A,$92.48,$92.48,$92.48
09/29/2021,$92.48,N/A,$92.48,$92.48,$92.48
09/28/2021,$92.48,225,$92.48,$92.48,$92.48
09/27/2021,$97.1307,N/A,$97.1307,$97.1307,$97.1307
09/24/2021,$97.1307,N/A,$97.1307,$97.1307,$97.1307
09/23/2021,$97.1307,19043,$100.2,$100.2,$97.1307
09/22/2021,$100.11,348,$100,$100.11,$99.75
09/21/2021,$96.6,N/A,$96.6,$96.6,$96.6
09/20/2021,$96.6,N/A,$96.6,$96.6,$96.6
09/17/2021,$96.6,38479,$96.1063,$96.6,$96.1063
09/16/2021,$98.5,N/A,$98.5,$98.5,$98.5
09/15/2021,$98.5,131,$98.5,$98.5,$98.5
09/14/2021,$98.75,N/A,$98.75,$98.75,$98.75
