Date,Close/Last,Volume,Open,High,Low
12/14/2021,$59.52,8793521,$58.16,$59.88,$58.15
12/13/2021,$58.7,8652712,$58.6,$59.449,$58.02
12/10/2021,$58.6,10161000,$59.16,$59.41,$57.47
12/09/2021,$59.07,8520544,$58.595,$59.81,$58.52
12/08/2021,$59.27,9785536,$58.78,$60.01,$58.03
12/07/2021,$58.77,11553520,$58.92,$59.27,$58.282
12/06/2021,$58.09,9408963,$57.53,$58.45,$57.24
12/03/2021,$57.36,13287430,$56.978,$57.44,$56.4
12/02/2021,$57.29,8606166,$57.28,$58.18,$56.62
12/01/2021,$57.28,11609130,$59.11,$59.21,$57.19
11/30/2021,$58.6,19291120,$60.015,$60.4337,$58.44
11/29/2021,$60.31,7749621,$60.885,$60.95,$59.6501
11/26/2021,$60.62,8305870,$61.281,$61.68,$60.18
11/24/2021,$60.91,9681498,$61.84,$61.84,$60.75
11/23/2021,$61.77,16566630,$61.85,$62.92,$61.33
11/22/2021,$62.2,16585220,$60.93,$62.41,$59.775
11/19/2021,$62.38,14493290,$63.75,$64.09,$62.17
11/18/2021,$62.67,24245590,$63.6,$64.05,$60.9
11/17/2021,$64.2,28771240,$65.525,$65.635,$63.5
11/16/2021,$66.14,38243240,$70.55,$72.135,$65.46
11/15/2021,$70.43,11628230,$69.315,$70.68,$68.14
11/12/2021,$69.69,13922950,$67.72,$70.04,$67.34
11/11/2021,$67.5,13235030,$67.25,$67.53,$66.02
11/10/2021,$66.66,7966185,$66.73,$67.45,$66.52
11/09/2021,$67.1,8811987,$66.99,$67.55,$66.53
11/08/2021,$66.82,12825670,$68.43,$68.43,$66.62
11/05/2021,$67.83,13716860,$68.57,$68.78,$66.92
11/04/2021,$68.23,16203300,$67.47,$68.74,$66.65
11/03/2021,$66.75,43753570,$66.25,$67.19,$64.55
11/02/2021,$77.67,10370410,$79.29,$79.37,$77.035
11/01/2021,$79.35,7569367,$78.94,$80.01,$78.54
10/29/2021,$78.19,8370219,$78.93,$79.37,$77.73
10/28/2021,$78.88,10842640,$78.6,$78.96,$76.65
10/27/2021,$78.65,6261495,$80.22,$80.34,$78.55
10/26/2021,$80.76,6420631,$81.81,$82.34,$80.42
10/25/2021,$81.19,8345757,$79.43,$81.51,$79.395
10/22/2021,$79.27,6960407,$78.62,$80.92,$78.62
