Date,Close/Last,Volume,Open,High,Low
01/28/2022,$846.35,44929650,$831.56,$857.5,$792.01
01/27/2022,$829.1,49036520,$933.36,$935.39,$829
01/26/2022,$937.41,34955760,$952.43,$987.69,$906
01/25/2022,$918.4,28865300,$914.2,$951.26,$903.21
01/24/2022,$930,50791710,$904.76,$933.5131,$851.47
01/21/2022,$943.9,34472010,$996.34,$1004.55,$940.5
01/20/2022,$996.27,23496250,$1009.73,$1041.66,$994
01/19/2022,$995.65,25147500,$1041.705,$1054.6699,$995
01/18/2022,$1030.51,22329800,$1026.605,$1070.7899,$1016.06
01/14/2022,$1049.61,24308140,$1019.88,$1052,$1013.3788
01/13/2022,$1031.56,32403260,$1109.065,$1115.6,$1026.5391
01/12/2022,$1106.22,27913010,$1078.85,$1114.84,$1072.5901
01/11/2022,$1064.4,22021070,$1053.67,$1075.85,$1038.82
01/10/2022,$1058.12,30604960,$1000,$1059.1,$980
01/07/2022,$1026.96,28054920,$1080.37,$1080.9299,$1010
01/06/2022,$1064.7,30112160,$1077,$1088,$1020.5
01/05/2022,$1088.12,26706600,$1146.65,$1170.34,$1081.0101
01/04/2022,$1149.59,33416090,$1189.55,$1208,$1123.05
01/03/2022,$1199.78,34895350,$1147.75,$1201.07,$1136.04
12/31/2021,$1056.78,13577880,$1073.4444,$1081.9999,$1054.59
12/30/2021,$1070.34,15680310,$1061.33,$1095.55,$1053.15
12/29/2021,$1086.19,18718020,$1098.64,$1104,$1064.14
12/28/2021,$1088.47,20107970,$1109.49,$1118.9999,$1078.42
12/27/2021,$1093.94,23715270,$1073.67,$1117,$1070.7152
12/23/2021,$1067,30904430,$1006.8,$1072.9767,$997.56
12/22/2021,$1008.87,31211360,$965.66,$1015.6599,$957.05
12/21/2021,$938.53,23839310,$916.87,$939.5,$886.12
12/20/2021,$899.94,18826670,$910.7,$921.6884,$893.39
12/17/2021,$932.57,33626750,$914.77,$960.6599,$909.0401
12/16/2021,$926.92,27590480,$994.5,$994.98,$921.85
12/15/2021,$975.99,25056410,$953.21,$978.7499,$928.2501
12/14/2021,$958.51,23602090,$945,$966.41,$930
12/13/2021,$966.41,26198500,$1001.09,$1005,$951.42
12/10/2021,$1017.03,19888120,$1008.75,$1020.9797,$982.53
12/09/2021,$1003.8,19812830,$1060.64,$1062.49,$1002.36
12/08/2021,$1068.96,13968790,$1052.71,$1072.38,$1033.0001
12/07/2021,$1051.75,18694860,$1044.2,$1057.6739,$1026.81
12/06/2021,$1009.01,27221040,$1001.51,$1021.64,$950.5
12/03/2021,$1014.97,30774000,$1084.79,$1090.5753,$1000.21
12/02/2021,$1084.6,24371620,$1099.06,$1113,$1056.65
12/01/2021,$1095,22934700,$1160.695,$1172.8399,$1090.76
11/30/2021,$1144.76,27092040,$1144.37,$1168,$1118
11/29/2021,$1136.99,19464470,$1100.99,$1142.67,$1100.19
11/26/2021,$1081.92,11680890,$1099.47,$1108.7827,$1081
11/24/2021,$1116,22560240,$1080.39,$1132.77,$1062
11/23/2021,$1109.03,36171700,$1167.51,$1180.4999,$1062.7
11/22/2021,$1156.87,33072510,$1162.33,$1201.95,$1132.43
11/19/2021,$1137.06,21642260,$1098.87,$1138.7199,$1092.7
11/18/2021,$1096.38,20898930,$1106.55,$1112,$1075.02
11/17/2021,$1089.01,31445370,$1063.51,$1119.64,$1055.5
11/16/2021,$1054.73,26542360,$1003.31,$1057.1999,$1002.18
11/15/2021,$1013.39,34775650,$1017.63,$1031.98,$978.6
11/12/2021,$1033.42,25573150,$1047.5,$1054.5,$1019.2
11/11/2021,$1063.51,22396570,$1102.77,$1104.97,$1054.68
11/10/2021,$1067.95,42802720,$1010.41,$1078.1,$987.31
11/09/2021,$1023.5,59105840,$1173.6,$1174.5,$1011.52
11/08/2021,$1162.94,33445720,$1149.785,$1197,$1133
11/05/2021,$1222.09,21628810,$1228,$1239.87,$1208
11/04/2021,$1229.91,25397410,$1234.41,$1243.49,$1217
11/03/2021,$1213.86,34628520,$1177.33,$1215.39,$1152.62
11/02/2021,$1172,42737800,$1159.355,$1208.59,$1146
11/01/2021,$1208.59,56048720,$1145,$1209.75,$1118.66
10/29/2021,$1114,29918420,$1081.86,$1115.21,$1073.205
10/28/2021,$1077.04,27213170,$1068.305,$1081,$1054.2
10/27/2021,$1037.86,38526460,$1039.66,$1070.88,$1030.78
10/26/2021,$1018.43,62414970,$1024.69,$1094.94,$1001.44
10/25/2021,$1024.86,62852100,$950.53,$1045.02,$944.2
10/22/2021,$909.68,22880840,$895.5,$910,$890.96
10/21/2021,$894,31481450,$856,$900,$855.5046
10/20/2021,$865.8,14032050,$865.35,$869.49,$857.38
10/19/2021,$864.27,17381130,$877.53,$877.95,$862.51
10/18/2021,$870.11,24207240,$851.79,$875.26,$851.47
10/15/2021,$843.03,18924570,$823.738,$843.21,$822.35
10/14/2021,$818.32,12247170,$815.49,$820.25,$813.3501
10/13/2021,$811.08,14120080,$810.47,$815.41,$805.78
10/12/2021,$805.72,22020040,$800.93,$812.32,$796.57
10/11/2021,$791.94,14200320,$787.65,$801.24,$785.5
10/08/2021,$785.49,16738600,$796.21,$796.38,$780.91
10/07/2021,$793.61,19195780,$785.46,$805,$783.38
10/06/2021,$782.75,14632770,$776.2,$786.66,$773.22
10/05/2021,$780.59,18432630,$784.796,$797.31,$774.2
10/04/2021,$781.53,30483340,$796.5,$806.9699,$776.12
10/01/2021,$775.22,17031410,$778.4,$780.78,$763.59
09/30/2021,$775.48,17955960,$781,$789.1305,$775
09/29/2021,$781.31,20942880,$779.8,$793.5,$770.68
09/28/2021,$777.56,25381420,$787.2,$795.64,$766.1801
09/27/2021,$791.36,28070660,$773.12,$799,$769.31
09/24/2021,$774.39,21373020,$745.89,$774.8,$744.56
09/23/2021,$753.64,11947530,$755,$758.2,$747.92
09/22/2021,$751.94,15126270,$743.5263,$753.6699,$739.12
09/21/2021,$739.38,16330720,$734.79,$744.7399,$730.44
09/20/2021,$730.17,24757650,$734.5577,$742,$718.6249
09/17/2021,$759.49,28204180,$757.15,$761.04,$750
09/16/2021,$756.99,13923390,$752.83,$758.91,$747.61
09/15/2021,$755.83,15357690,$745,$756.86,$738.36
09/14/2021,$744.49,18524880,$742.57,$754.47,$736.4
09/13/2021,$743,22952480,$740.214,$744.78,$708.85
09/10/2021,$736.27,15184170,$759.6,$762.61,$734.5201
09/09/2021,$754.86,14077730,$753.41,$762.1,$751.6301
09/08/2021,$753.87,18793040,$761.58,$764.45,$740.7733
09/07/2021,$752.92,20039830,$740,$760.2,$739.26
09/03/2021,$733.57,15271050,$732.249,$734,$724.2
09/02/2021,$732.39,12796740,$734.5,$740.97,$730.54
09/01/2021,$734.09,13204340,$734.08,$741.99,$731.2701
08/31/2021,$735.72,20855440,$733,$740.39,$726.44
08/30/2021,$730.91,18604220,$714.715,$731,$712.73
08/27/2021,$711.92,13833760,$705,$715,$702.1001
08/26/2021,$701.16,13214290,$708.31,$715.4,$697.6201
08/25/2021,$711.2,12645560,$707.03,$716.97,$704
08/24/2021,$708.49,13083070,$710.68,$715.22,$702.64
08/23/2021,$706.3,20264860,$685.442,$712.1299,$680.7505
08/20/2021,$680.26,14841870,$682.85,$692.1299,$673.7
08/19/2021,$673.47,14313490,$678.21,$686.55,$667.59
08/18/2021,$688.99,20349380,$669.748,$695.77,$669.35
08/17/2021,$665.71,23721280,$672.66,$674.58,$648.84
08/16/2021,$686.17,23103300,$705.07,$709.5,$676.4
08/13/2021,$717.17,16731470,$723.71,$729.9,$714.34
